sale_id,car_id,customer_id,purchase_date
10001,14045,3106,"2019-12-27 00:00:00"
10002,72111,4979,"2019-03-26 00:00:00"
10003,15874,4943,"2020-03-07 00:00:00"
10004,59092,3771,"2019-05-14 00:00:00"
10005,71385,679,"2020-08-01 00:00:00"
10006,55767,7732,"2020-01-19 00:00:00"
10007,38833,864,"2020-01-07 00:00:00"
10008,30133,8593,"2019-06-14 00:00:00"
10009,50988,1279,"2020-11-08 00:00:00"
10010,6097,2127,"2019-07-16 00:00:00"
10011,23702,5402,"2020-06-17 00:00:00"
10012,42797,8543,"2019-10-16 00:00:00"
10013,4275,7146,"2019-06-24 00:00:00"
10014,26650,8154,"2020-01-18 00:00:00"
10015,69399,7901,"2019-08-02 00:00:00"
10016,27151,1288,"2019-01-23 00:00:00"
10017,36819,7079,"2020-05-09 00:00:00"
10018,24096,549,"2020-06-11 00:00:00"
10019,42329,1413,"2020-11-18 00:00:00"
10020,35660,7520,"2019-11-13 00:00:00"
10021,33496,2762,"2019-05-03 00:00:00"
10022,68659,8665,"2020-08-27 00:00:00"
10023,17358,8503,"2019-12-06 00:00:00"
10024,16674,6688,"2019-07-02 00:00:00"
10025,39283,7513,"2019-09-10 00:00:00"
10026,20652,1075,"2019-11-08 00:00:00"
10027,28240,7536,"2019-09-28 00:00:00"
10028,17137,4309,"2020-11-04 00:00:00"
10029,32341,5846,"2019-08-19 00:00:00"
10030,18327,141,"2019-12-26 00:00:00"
10031,67761,7745,"2020-08-31 00:00:00"
10032,37596,584,"2019-10-25 00:00:00"
10033,47151,8783,"2020-07-05 00:00:00"
10034,69,1304,"2020-09-26 00:00:00"
10035,50328,1963,"2019-04-27 00:00:00"
10036,41078,8295,"2019-08-08 00:00:00"
10037,54987,5479,"2020-11-21 00:00:00"
10038,12267,1622,"2019-07-21 00:00:00"
10039,36361,8992,"2020-10-08 00:00:00"
10040,53285,8301,"2019-02-22 00:00:00"
10041,55300,3234,"2019-11-19 00:00:00"
10042,42041,1263,"2019-07-31 00:00:00"
10043,45669,6055,"2019-11-09 00:00:00"
10044,52391,3415,"2020-05-19 00:00:00"
10045,56394,287,"2020-09-24 00:00:00"
10046,18896,7828,"2019-11-25 00:00:00"
10047,24289,5291,"2019-10-24 00:00:00"
10048,62274,3262,"2020-05-23 00:00:00"
10049,73497,7244,"2019-05-09 00:00:00"
10050,65199,8304,"2019-06-11 00:00:00"
10051,40823,6603,"2020-02-21 00:00:00"
10052,13291,641,"2019-04-21 00:00:00"
10053,11451,2460,"2020-10-05 00:00:00"
10054,20782,1813,"2020-09-04 00:00:00"
10055,55819,6991,"2019-10-02 00:00:00"
10056,9036,1634,"2020-02-14 00:00:00"
10057,17821,2429,"2020-02-21 00:00:00"
10058,57977,1685,"2019-01-31 00:00:00"
10059,10314,7508,"2019-06-07 00:00:00"
10060,19067,5753,"2019-06-23 00:00:00"
10061,25724,2057,"2020-11-12 00:00:00"
10062,14161,6215,"2020-10-15 00:00:00"
10063,71564,7580,"2020-07-28 00:00:00"
10064,7912,7114,"2019-10-13 00:00:00"
10065,55194,3905,"2020-06-23 00:00:00"
10066,5265,8547,"2020-09-16 00:00:00"
10067,4091,1656,"2019-05-22 00:00:00"
10068,19761,5983,"2020-08-07 00:00:00"
10069,62059,3816,"2019-09-27 00:00:00"
10070,17864,2136,"2020-09-05 00:00:00"
10071,42189,3096,"2019-02-21 00:00:00"
10072,40180,4067,"2020-02-17 00:00:00"
10073,6953,143,"2019-02-28 00:00:00"
10074,23261,6316,"2019-12-08 00:00:00"
10075,22187,1971,"2019-06-19 00:00:00"
10076,10820,5887,"2020-12-05 00:00:00"
10077,68560,7792,"2019-04-02 00:00:00"
10078,16795,8316,"2020-06-10 00:00:00"
10079,27179,5080,"2019-02-10 00:00:00"
10080,9778,5963,"2020-09-05 00:00:00"
10081,16325,4776,"2019-02-02 00:00:00"
10082,73227,8676,"2019-02-13 00:00:00"
10083,45429,2212,"2020-05-17 00:00:00"
10084,48841,5998,"2020-07-29 00:00:00"
10085,31444,6643,"2019-07-11 00:00:00"
10086,6023,4652,"2020-01-09 00:00:00"
10087,32792,4372,"2019-06-24 00:00:00"
10088,62242,7784,"2020-01-28 00:00:00"
10089,56122,7165,"2019-12-18 00:00:00"
10090,53340,7416,"2020-01-03 00:00:00"
10091,54156,744,"2020-06-14 00:00:00"
10092,49471,4035,"2019-04-27 00:00:00"
10093,68080,1697,"2019-02-12 00:00:00"
10094,9291,2405,"2020-06-26 00:00:00"
10095,68723,5541,"2020-05-05 00:00:00"
10096,67328,4472,"2020-06-21 00:00:00"
10097,41367,5023,"2020-03-17 00:00:00"
10098,20177,1685,"2020-06-25 00:00:00"
10099,29452,7378,"2019-01-11 00:00:00"
10100,68755,6825,"2019-09-01 00:00:00"
10101,59618,260,"2020-07-31 00:00:00"
10102,15265,3781,"2019-06-05 00:00:00"
10103,35392,6363,"2019-09-04 00:00:00"
10104,68247,2578,"2019-06-21 00:00:00"
10105,58274,4104,"2019-07-03 00:00:00"
10106,74276,5287,"2020-06-20 00:00:00"
10107,5867,6780,"2020-03-04 00:00:00"
10108,27693,4611,"2020-10-10 00:00:00"
10109,17648,4676,"2020-07-05 00:00:00"
10110,14580,1615,"2019-12-08 00:00:00"
10111,20019,6250,"2020-10-28 00:00:00"
10112,20826,4864,"2019-05-18 00:00:00"
10113,75529,7794,"2019-09-14 00:00:00"
10114,70997,4592,"2020-03-21 00:00:00"
10115,59861,5567,"2019-03-05 00:00:00"
10116,27338,7232,"2020-10-15 00:00:00"
10117,17635,5455,"2020-08-01 00:00:00"
10118,34087,4181,"2019-06-26 00:00:00"
10119,39452,1813,"2019-07-11 00:00:00"
10120,45752,8971,"2019-09-06 00:00:00"
10121,55445,4552,"2020-01-05 00:00:00"
10122,58015,1775,"2019-07-30 00:00:00"
10123,7712,5292,"2019-11-21 00:00:00"
10124,57305,1345,"2019-01-27 00:00:00"
10125,11610,8355,"2020-06-27 00:00:00"
10126,27733,7706,"2020-08-12 00:00:00"
10127,31479,2159,"2019-04-15 00:00:00"
10128,40863,7152,"2020-01-04 00:00:00"
10129,68449,5243,"2020-03-31 00:00:00"
10130,45998,3999,"2020-09-02 00:00:00"
10131,68492,4216,"2020-11-21 00:00:00"
10132,31859,6605,"2019-04-10 00:00:00"
10133,4335,2341,"2020-06-25 00:00:00"
10134,25484,4335,"2019-07-11 00:00:00"
10135,32659,7779,"2020-03-17 00:00:00"
10136,60643,8019,"2019-08-10 00:00:00"
10137,18332,4920,"2020-04-16 00:00:00"
10138,57568,8641,"2019-01-02 00:00:00"
10139,58040,3006,"2019-11-08 00:00:00"
10140,37168,802,"2020-10-24 00:00:00"
10141,19832,8326,"2019-07-31 00:00:00"
10142,48263,682,"2019-06-02 00:00:00"
10143,58816,8201,"2019-02-03 00:00:00"
10144,55919,4335,"2020-03-27 00:00:00"
10145,1233,2302,"2019-11-18 00:00:00"
10146,47096,175,"2019-04-05 00:00:00"
10147,14997,8118,"2019-01-09 00:00:00"
10148,69019,987,"2019-05-11 00:00:00"
10149,48258,7997,"2019-07-09 00:00:00"
10150,57188,3603,"2019-07-17 00:00:00"
10151,26240,4472,"2020-10-25 00:00:00"
10152,39477,3724,"2020-10-28 00:00:00"
10153,14664,1121,"2019-01-19 00:00:00"
10154,21941,6081,"2019-05-15 00:00:00"
10155,68564,7814,"2020-06-12 00:00:00"
10156,57836,3556,"2019-10-18 00:00:00"
10157,25552,7378,"2019-09-13 00:00:00"
10158,29375,1107,"2019-06-22 00:00:00"
10159,66485,3019,"2019-07-01 00:00:00"
10160,37505,7059,"2020-02-18 00:00:00"
10161,58585,83,"2020-03-30 00:00:00"
10162,49767,440,"2019-07-18 00:00:00"
10163,46022,2837,"2020-02-25 00:00:00"
10164,60954,8334,"2020-08-25 00:00:00"
10165,9504,8730,"2020-07-26 00:00:00"
10166,69588,8776,"2020-09-11 00:00:00"
10167,40236,5348,"2020-08-19 00:00:00"
10168,59453,6762,"2020-10-12 00:00:00"
10169,49801,2019,"2019-11-11 00:00:00"
10170,75720,4002,"2020-07-13 00:00:00"
10171,71838,1522,"2019-01-19 00:00:00"
10172,30997,6557,"2020-09-16 00:00:00"
10173,18601,5275,"2020-05-09 00:00:00"
10174,13745,3934,"2019-08-02 00:00:00"
10175,55480,5466,"2020-05-03 00:00:00"
10176,13600,7305,"2019-09-21 00:00:00"
10177,18320,936,"2019-07-07 00:00:00"
